"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"stabilizovaná a perspektivní populace mechu vyskytující se na více místech v rámci EVL s pravidelnou","","","","",NA,NA,"","","","","","","","","",NA
"každoroèní tvorbou štìtù s tobolkami.,sdo_3239_2016_0000.pdf
CZ0714077,zvonek jesenický *,Campanula gelida,2233,stálá,20,20,jedinci,dobré zachování,populace je izolovaná,vynikající hodnota,Cílem je zachovat"," pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.,sdo_3239_2016_0000.pdf
CZ0714077,støevlík hrbolatý,Carabus variolosus,4014,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích úkrytù","","",NA,NA,"","","","","",""," pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.,sdo_3239_2016_0000.pdf
CZ0714077,støevlík hrbolatý,Carabus variolosus,4014,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích úkrytù","",NA
"a zajištìním ochrany stávajícího vodního režimu na podmáèených plochách.,sdo_3239_2016_0000.pdf
CZ0714077,lipnice jesenická *,Poa riphaea,2317,stálá,48,48,jedinci,dobré zachování,populace je izolovaná,vynikající hodnota,Cílem je zachovat"," pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.","","","",NA,NA,"","","","","",""," pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.","","",NA
"* oznaèuje prioritní druh,sdo_3239_2016_0000.pdf
CZ0713388,modrásek bahenní,Maculinea nausithous,1061,stálá,10,-,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachovat na lokalitì populaci modráska bahenního s poèetností minimálnì jako v dobì vyhlášení EVL","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachovat na lokalitì populaci modráska bahenního s poèetností minimálnì jako v dobì vyhlášení EVL","","",NA
"a to zajištìním vhodných podmínek pro výskyt stálé"," životaschopné populace.,sdo_3240_2015.pdf
CZ0713388,modrásek bahenní,Maculinea nausithous,1061,stálá,10,-,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachování aktuálního stavu populace modráska bahenního v poèetnosti minimálnì nižších desítek","","",NA,NA,"","","","","",""," životaschopné populace.,sdo_3240_2015.pdf
CZ0713388,modrásek bahenní,Maculinea nausithous,1061,stálá,10,-,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zachování aktuálního stavu populace modráska bahenního v poèetnosti minimálnì nižších desítek","",NA
"jedincù"," a to zajištìním vhodných podmínek pro výskyt stálé"," životaschopné populace.,sdo_3240_2018_0000.pdf
CZ0714078,šikoušek zelený,Buxbaumia viridis,1386,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Stav pøedmìtu ochrany nebyl v dobì vyhlášení EVL dostateènì dobøe znám. Nicménì na základì nedávno","",NA,NA,"","","","","",""," a to zajištìním vhodných podmínek pro výskyt stálé"," životaschopné populace.,sdo_3240_2018_0000.pdf
CZ0714078,šikoušek zelený,Buxbaumia viridis,1386,stálá,-,-,-,dobré zachování,populace není izolovaná","",NA
"provedených monitoringù je patrné"," že souèasná populace šikouška je stabilní (i když výraznìji varíruje). Cílový","","","",NA,NA,"","","","","",""," že souèasná populace šikouška je stabilní (i když výraznìji varíruje). Cílový","","",NA
"stav by mìl pøedstavovat celkovì nìkolik desítek jedincù na všech pro nìj vhodných lokalitách. Takový stav lze","","","","",NA,NA,"","","","","","","","","",NA
"považovat za dostateèný pro zachování jeho populace"," souèasný stav tomuto množství zhruba odpovídá.,sdo_3242_2015.pdf
CZ0714081,šikoušek zelený,Buxbaumia viridis,1386,stálá,-,-,-,prùmìrné nebo omezené zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zlepšit stav oproti situaci v dobì vyhlášení. Výsledkem péèe by mìla být stabilizovaná a perspektivní","","",NA,NA,"","","","","",""," souèasný stav tomuto množství zhruba odpovídá.,sdo_3242_2015.pdf
CZ0714081,šikoušek zelený,Buxbaumia viridis,1386,stálá,-,-,-,prùmìrné nebo omezené zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Cílem je zlepšit stav oproti situaci v dobì vyhlášení. Výsledkem péèe by mìla být stabilizovaná a perspektivní","",NA
"populace mechu vyskytující se na více místech v rámci EVL s pravidelnou každoroèní tvorbou štìtù s","","","","",NA,NA,"","","","","","","","","",NA
