"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"zachovat stav luèního ekosystému"," tak aby vývojové stádium biotopu zùstalo vhodné pro udržení dobrého stavu","","","",NA,NA,"","","","","",""," tak aby vývojové stádium biotopu zùstalo vhodné pro udržení dobrého stavu","","",NA
"významných rostlinných spoleèenstev podhorských a horských smilkových trávníku (T2.3B) a tím docílit","","","","",NA,NA,"","","","","","","","","",NA
"zachování stanovištních podmínek potøebných pro výskyt hoøeèku mnohotvarého èeského.","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,Orlicke hory-sever.pdf
CZ0524046,hoøeèek èeský *,Gentianella bohemica,4094,stálá,500,1500,jedinci,dobré zachování,populace na okraji areálu,dobrá hodnota,Zachovat stav populace pøedmìtu ochrany odpovídající stavu pøi vyhlášení vhodným managementem. Tzn.","","","","",NA,NA,"","","","","","","","","",NA
"zachovat stav luèního ekosystému"," tak aby vývojové stádium biotopu zùstalo vhodné pro udržení dobrého stavu","","","",NA,NA,"","","","","",""," tak aby vývojové stádium biotopu zùstalo vhodné pro udržení dobrého stavu","","",NA
"významných rostlinných spoleèenstev podhorských a horských smilkových trávníku (T2.3B) a tím docílit","","","","",NA,NA,"","","","","","","","","",NA
"zachování stanovištních podmínek potøebných pro výskyt hoøeèku mnohotvarého èeského.","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,orlicke hory.pdf
CZ0323158,kuòka ohnivá,Bombina bombina,1188,stálá,-,-,-,dobré zachování,populace na okraji areálu,dobrá hodnota,Zachovat poèetnost populace alespoò ve stavu"," v jakém byla v dobì vyhlášení.,Osek rybnik labutina.pdf
CZ0713736,netopýr velký,Myotis myotis,1324,rozmnožující se,355,355,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Udržovat souèasný stav kolonie aktivním managementem.,Otaslavice - kostel SDO 2013.pdf
CZ0723413,kuòka ohnivá,Bombina bombina,1188,stálá,-,-,-,dobré zachování,populace na okraji areálu,dobrá hodnota,Zlepšení stavu pøedmìtu ochrany oproti stavu pøi vyhlášení.,OvÄÃ­rka.pdf
CZ0533309,páchník hnìdý *,Osmoderma eremita,1084,stálá,-,-,pøítomná,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,významná hodnota,Stabilní populace páchníka (desítky dospìlcù"," pravidelná pøítomnost larev).",NA,NA,"","","","","",""," v jakém byla v dobì vyhlášení.,Osek rybnik labutina.pdf
CZ0713736,netopýr velký,Myotis myotis,1324,rozmnožující se,355,355,jedinci,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Udržovat souèasný stav kolonie aktivním managementem.,Otaslavice - kostel SDO 2013.pdf
CZ0723413,kuòka ohnivá,Bombina bombina,1188,stálá,-,-,-,dobré zachování,populace na okraji areálu,dobrá hodnota,Zlepšení stavu pøedmìtu ochrany oproti stavu pøi vyhlášení.,OvÄÃ­rka.pdf
CZ0533309,páchník hnìdý *,Osmoderma eremita,1084,stálá,-,-,pøítomná,dobré zachování,populace není izolovaná","",NA
"* oznaèuje prioritní druh,Pardubice SDO 2013.pdf
CZ0212023,sinokvìt chrpovitý *,Jurinea cyanoides,1805,stálá,47,47,jedinci,prùmìrné nebo omezené zachování,populace je izolovaná,vynikající hodnota,Cílovým stavem je dlouhodobì životaschopná populace sinokvìtu s pøirozenou generativní a vegetativní","","","","",NA,NA,"","","","","","","","","",NA
"obnovou"," tj. zlepšení stavu oproti stavu pøi vyhlášení. Zároveò je cílem zvìtšení velikosti populace sinokvìtu","","","",NA,NA,"","","","","",""," tj. zlepšení stavu oproti stavu pøi vyhlášení. Zároveò je cílem zvìtšení velikosti populace sinokvìtu","","",NA
"(optimálnì øádovì stovky jedincù) a zvìtšení plochy"," kde se sinokvìt vyskytuje (tj. též zlepšení stavu oproti","","","",NA,NA,"","","","","",""," kde se sinokvìt vyskytuje (tj. též zlepšení stavu oproti","","",NA
"stavu pøi vyhlášení).","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,piscina u tisic.pdf
CZ0624114,pøástevník kostivalový *,Callimorpha quadripunctaria,1078,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Zachovat populaci pøástevníka kostivalového na úrovni v dobì vyhlášení EVL (nadále zachovat vhodné","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Zachovat populaci pøástevníka kostivalového na úrovni v dobì vyhlášení EVL (nadále zachovat vhodné","","",NA
"podmínky pro jeho existenci).","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,PÅ™ednÃ­ kout.pdf
CZ0513663,vrápenec malý,Rhinolophus hipposideros,1303,rozmnožující se,47,47,jedinci,vynikající zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,NA,Podhaji-chalupa.pdf
CZ0413179,hnìdásek chrastavcový,Euphydryas aurinia,1065,stálá,-,-,-,dobré zachování,populace na okraji areálu,dobrá hodnota,Zajistit dlouhodobé pøežívání populace hnìdáska chrastavcového na lokalitì"," optimálnì mezi 250-400 hnízdy","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,NA,Podhaji-chalupa.pdf
CZ0413179,hnìdásek chrastavcový,Euphydryas aurinia,1065,stálá,-,-,-,dobré zachování,populace na okraji areálu,dobrá hodnota,Zajistit dlouhodobé pøežívání populace hnìdáska chrastavcového na lokalitì"," optimálnì mezi 250-400 hnízdy","",NA
"což je stejná poèetnost jako pøi vyhlášení.,Podhorni louky.pdf
CZ0312045,hoøeèek èeský *,Gentianella bohemica,4094,stálá,100,7800 jedinci,100 % ","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Stav pøi vyhlášení udržet aktivním managementem.
* oznaèuje prioritní druh",NA,NA,"","","","","","","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","",NA
"CZ0723417","vrkoè útlý","Vertigo angustior","1014","stálá",NA,NA,"pøítomná","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota",NA,"PozdÄ›chov SDO 2013.pdf","vrkoè útlý","Vertigo angustior",NA,NA
"CZ0714077","šikoušek zelený","Buxbaumia viridis","1386","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachovat, pøípadnì zlepšit stav oproti situaci v dobì vyhlášení. Výsledkem péèe by mìla být
stabilizovaná a perspektivní populace mechu vyskytující se na více místech v rámci EVL s pravidelnou
každoroèní tvorbou štìtù s tobolkami.","Praded.pdf","šikoušek zelený","Buxbaumia viridis","Cílem je zachovat, pøípadnì zlepšit stav oproti situaci v dobì vyhlášení. Výsledkem péèe by mìla býtstabilizovaná a perspektivní populace mechu vyskytující se na více místech v rámci EVL s pravidelnoukaždoroèní tvorbou štìtù s tobolkami.",NA
"CZ0714077","zvonek jesenický *","Campanula gelida","2233","stálá",20,20,"jedinci","dobré zachování","populace je izolovaná","vynikající hodnota","Cílem je zachovat, pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.","Praded.pdf","zvonek jesenický","Campanula gelida","Cílem je zachovat, pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.",20
"CZ0714077","støevlík hrbolatý","Carabus variolosus","4014","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích úkrytù
a zajištìním ochrany stávajícího vodního režimu na podmáèených plochách.","Praded.pdf","støevlík hrbolatý","Carabus variolosus","Cílem je podpoøit a zlepšit stav populace proti stavu pøi vyhlášení EVL vytváøením vhodných pøezimovacích úkrytùa zajištìním ochrany stávajícího vodního režimu na podmáèených plochách.",NA
"CZ0714077","lipnice jesenická *","Poa riphaea","2317","stálá",48,48,"jedinci","dobré zachování","populace je izolovaná","vynikající hodnota","Cílem je zachovat, pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.

* oznaèuje prioritní druh","Praded.pdf","lipnice jesenická","Poa riphaea","Cílem je zachovat, pøípadnì zlepšit stav populace proti stavu pøi vyhlášení EVL.",48
"CZ0713388","modrásek bahenní","Maculinea nausithous","1061","stálá",10,NA,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Cílem je zachovat na lokalitì populaci modráska bahenního s poèetností minimálnì jako v dobì vyhlášení EVL,
a to zajištìním vhodných podmínek pro výskyt stálé, životaschopné populace.","protivanov.pdf","modrásek bahenní","Maculinea nausithous","Cílem je zachovat na lokalitì populaci modráska bahenního s poèetností minimálnì jako v dobì vyhlášení EVL,a to zajištìním vhodných podmínek pro výskyt stálé, životaschopné populace.",10
"CZ0623329","netopýr brvitý","Myotis emarginatus","1321","rozmnožující se",100,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zlepšit aktuální stav pøedmìtu ochrany (12. 6. 2013 zjištìn maximální stav pøi odborném monitoringu - shluk
cca 400 jedincù vè. mláïat na jižní pùdì objektu nad bývalou kartonáží), který je výraznì nižší, než v období
vyhlášení EVL, kdy stavy tohoto pøedmìtu ochrany na lokalitì dosahovaly i pøes 1000 jedincù vè. mláïat (údaj
se opírá o data z monitoringu, která jsou pøesnìjší než údaj uvedený výše z databáze).","PrudkÃ¡ SDO 2013.pdf","netopýr brvitý","Myotis emarginatus","Zlepšit aktuální stav pøedmìtu ochrany (12. 6. 2013 zjištìn maximální stav pøi odborném monitoringu - shlukcca 400 jedincù vè. mláïat na jižní pùdì objektu nad bývalou kartonáží), který je výraznì nižší, než v obdobívyhlášení EVL, kdy stavy tohoto pøedmìtu ochrany na lokalitì dosahovaly i pøes 1000 jedincù vè. mláïat (údajse opírá o data z monitoringu, která jsou pøesnìjší než údaj uvedený výše z databáze).",100
"CZ0623329","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",100,150,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zlepšit aktuální stav pøedmìtu ochrany (18. 5. 2013 zjištìno pøi odborném monitoringu celkem asi 200 jedincù
rozptýlených po vìtšinì pùdních prostor v areálu, další pravdìpodobnì v prostorách, které nejsou pøístupné),
který je mírnì nižší, než v období vyhlášení EVL, kdy se stavy pøibližovaly poètu 300 jedincù.","PrudkÃ¡ SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Zlepšit aktuální stav pøedmìtu ochrany (18. 5. 2013 zjištìno pøi odborném monitoringu celkem asi 200 jedincùrozptýlených po vìtšinì pùdních prostor v areálu, další pravdìpodobnì v prostorách, které nejsou pøístupné),který je mírnì nižší, než v období vyhlášení EVL, kdy se stavy pøibližovaly poètu 300 jedincù.",125
"CZ0612141","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",200,200,"jedinci","dobré zachování","populace na okraji areálu","dobrá hodnota","Aktivním managementem acidofilních suchých trávníkù posílit stav populace oproti stavu pøi vyhlášení EVL.","Ptacovsky.pdf","koniklec velkokvìtý","Pulsatilla grandis","Aktivním managementem acidofilních suchých trávníkù posílit stav populace oproti stavu pøi vyhlášení EVL.",200
"CZ0714078","šikoušek zelený","Buxbaumia viridis","1386","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Stav pøedmìtu ochrany nebyl v dobì vyhlášení EVL dostateènì dobøe znám. Nicménì na základì nedávno
provedených monitoringù je patrné, že souèasná populace šikouška je stabilní (i když výraznìji varíruje). Cílový
stav by mìl pøedstavovat celkovì nìkolik desítek jedincù na všech pro nìj vhodných lokalitách. Takový stav lze
považovat za dostateèný pro zachování jeho populace, souèasný stav tomuto množství zhruba odpovídá.","RabÅ¡tejn.pdf","šikoušek zelený","Buxbaumia viridis","Stav pøedmìtu ochrany nebyl v dobì vyhlášení EVL dostateènì dobøe znám. Nicménì na základì nedávnoprovedených monitoringù je patrné, že souèasná populace šikouška je stabilní (i když výraznìji varíruje). Cílovýstav by mìl pøedstavovat celkovì nìkolik desítek jedincù na všech pro nìj vhodných lokalitách. Takový stav lzepovažovat za dostateèný pro zachování jeho populace, souèasný stav tomuto množství zhruba odpovídá.",NA
"CZ0313116","kuòka ohnivá","Bombina bombina","1188","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet poèetnost populace kuòky ohnivé odpovídající stavu pøi vyhlášení EVL.","Radomilicka mokrina.pdf","kuòka ohnivá","Bombina bombina","Udržet poèetnost populace kuòky ohnivé odpovídající stavu pøi vyhlášení EVL.",NA
"CZ0213063","modrásek bahenní","Maculinea nausithous","1061","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat, pøípadnì zlepšit stav populace z doby vyhlášení EVL úpravou biotopu.","rakovnik.pdf","modrásek bahenní","Maculinea nausithous","Zachovat, pøípadnì zlepšit stav populace z doby vyhlášení EVL úpravou biotopu.",NA
"CZ0314637","srpnatka fermežová","Drepanocladus vernicosus","1393","stálá",NA,NA,"pøítomná","vynikající zachování","populace na okraji areálu","dobrá hodnota","Zvýšit velikost populace","RaÅ¡eliniÅ¡tÄ› u Suchdola SDO 2013.pdf","srpnatka fermežová","Drepanocladus vernicosus","Zvýšit velikost populace",NA
"CZ0313119","vážka jasnoskvrnná","Leucorrhinia pectoralis","1042","stálá",NA,NA,NA,"dobré zachování","populace je izolovaná","významná hodnota","Udržet poèetnost populace vážky jasnoskvrnné vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek
pro udržení a rozvoj tohoto druhu na lokalitì.","Raseliniste Radlice.pdf","vážka jasnoskvrnná","Leucorrhinia pectoralis","Udržet poèetnost populace vážky jasnoskvrnné vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínekpro udržení a rozvoj tohoto druhu na lokalitì.",NA
"CZ0313119","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet poèetnost populace èolka velkého vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek pro
udržení a rozvoj tohoto druhu na lokalitì.","Raseliniste Radlice.pdf","èolek velký","Triturus cristatus","Udržet poèetnost populace èolka velkého vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek proudržení a rozvoj tohoto druhu na lokalitì.",NA
"CZ0313119","vážka jasnoskvrnná","Leucorrhinia pectoralis","1042","stálá",NA,NA,NA,"dobré zachování","populace je izolovaná","významná hodnota","Udržet poèetnost populace vážky jasnoskvrnné vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek
pro udržení a rozvoj tohoto druhu na lokalitì.","Raseliniste_Radlice.pdf","vážka jasnoskvrnná","Leucorrhinia pectoralis","Udržet poèetnost populace vážky jasnoskvrnné vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínekpro udržení a rozvoj tohoto druhu na lokalitì.",NA
"CZ0313119","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet poèetnost populace èolka velkého vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek pro
udržení a rozvoj tohoto druhu na lokalitì.","Raseliniste_Radlice.pdf","èolek velký","Triturus cristatus","Udržet poèetnost populace èolka velkého vzhledem ke stavu pøi vyhlášení EVL, tj. zachovaní podmínek proudržení a rozvoj tohoto druhu na lokalitì.",NA
"CZ0534055","srpnatka fermežová","Drepanocladus vernicosus","1393","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","2
Pravidelnou péèí o biotop zachovat souèasný stav, tj. dvì mikropopulace každá o ploše 1 až 2 m .","Ratajske rybniky.pdf","srpnatka fermežová","Drepanocladus vernicosus","2Pravidelnou péèí o biotop zachovat souèasný stav, tj. dvì mikropopulace každá o ploše 1 až 2 m .",NA
"CZ0534055","modrásek bahenní","Maculinea nausithous","1061","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Pravidelnou péèí o biotop zachovat souèasný stav (stovky jedincù).","Ratajske rybniky.pdf","modrásek bahenní","Maculinea nausithous","Pravidelnou péèí o biotop zachovat souèasný stav (stovky jedincù).",NA
"CZ0534055","modrásek oèkovaný","Maculinea teleius","1059","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Pravidelnou péèí o biotop zachovat souèasný stav (stovky jedincù).","Ratajske rybniky.pdf","modrásek oèkovaný","Maculinea teleius","Pravidelnou péèí o biotop zachovat souèasný stav (stovky jedincù).",NA
"CZ0315005","srpnatka fermežová","Drepanocladus vernicosus","1393","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem ochrany je udržet populaci srpnatky fermežové ve stavu jako pøi vyhlášení EVL.","Rezabinec.pdf","srpnatka fermežová","Drepanocladus vernicosus","Cílem ochrany je udržet populaci srpnatky fermežové ve stavu jako pøi vyhlášení EVL.",NA
"CZ0623713","netopýr velký","Myotis myotis","1324","rozmnožující se",200,330,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet stav populace netopýra velkého na úrovni v dobì vyhlášení EVL.","Rosice - zÃ¡mek SDO 2013.pdf","netopýr velký","Myotis myotis","Udržet stav populace netopýra velkého na úrovni v dobì vyhlášení EVL.",265
"CZ0613002","netopýr èerný","Barbastella barbastellus","1308","stálá",50,NA,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zachovat stav pøi vyhlášení.","Rostynska obora.pdf","netopýr èerný","Barbastella barbastellus","Zachovat stav pøi vyhlášení.",50
"CZ0424038","koniklec otevøený","Pulsatilla patens","1477","stálá",200,200,"jedinci","dobré zachování","populace je izolovaná","dobrá hodnota","Udržet velikost a stav populace minimálnì na úrovni jako pøi vyhlášení EVL. Cílem v rámci lokality je vytvoøit
podmínky pro trvalou zdrojovou populaci metapopulaèního systému v oblasti.","sdo-2804_2016_0000.pdf","koniklec otevøený","Pulsatilla patens","Udržet velikost a stav populace minimálnì na úrovni jako pøi vyhlášení EVL. Cílem v rámci lokality je vytvoøitpodmínky pro trvalou zdrojovou populaci metapopulaèního systému v oblasti.",200
"CZ0712191","hoøeèek èeský *","Gentianella bohemica","4094","stálá",320,1300,"jedinci","dobré zachování","populace na okraji areálu","vynikající hodnota","Cíleným managementem je potøeba udržet poèetnost populace minimálnì jako v dobì vyhlašování EVL a
umožnit rozšíøení hoøeèku i na další èásti lokality.
* oznaèuje prioritní druh","SDO_ CZ0712191_Stran_nad_Hutskym_potokem.pdf","hoøeèek èeský","Gentianella bohemica","Cíleným managementem je potøeba udržet poèetnost populace minimálnì jako v dobì vyhlašování EVL aumožnit rozšíøení hoøeèku i na další èásti lokality.",810
"CZ0614056","srpnatka fermežová","Drepanocladus vernicosus","1393","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","2
Aktivním managementem zachovat souèasný stav populace (více jak 5 m ).","sdo_ v lisovech.pdf","srpnatka fermežová","Drepanocladus vernicosus","2Aktivním managementem zachovat souèasný stav populace (více jak 5 m ).",NA
"CZ0514113","sekavec","Cobitis taenia","1149","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Udržet stabilní populaci sekavce odpovídající stavu pøi vyhlášení, tzn. stabilní populace o vyšších desítkách
až stovkách jedincù.","sdo__2874_0000.pdf","sekavec","Cobitis taenia","Udržet stabilní populaci sekavce odpovídající stavu pøi vyhlášení, tzn. stabilní populace o vyšších desítkáchaž stovkách jedincù.",NA
"CZ0514113","srpnatka fermežová","Hamatocaulis vernicosus","1393","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachování podmínek pro dlouhodobý výskyt životaschopné populace srpnatky fermežové a udržení dobré
                                                                  2
úrovnì populace odpovídající stavu pøi vyhlášení EVL, tj. cca 30 m .","sdo__2874_0000.pdf","srpnatka fermežová","Hamatocaulis vernicosus","Zachování podmínek pro dlouhodobý výskyt životaschopné populace srpnatky fermežové a udržení dobré 2úrovnì populace odpovídající stavu pøi vyhlášení EVL, tj. cca 30 m .",NA
"CZ0514113","hlízovec Loeselùv","Liparis loeselii","1903","stálá",50,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachování podmínek pro dlouhodobý výskyt životaschopné populace hlízovce Loeselova a udržení dobré
úrovnì populace odpovídající stavu pøi vyhlášení EVL, tzn. vyšší desítky jedincù.","sdo__2874_0000.pdf","hlízovec Loeselùv","Liparis loeselii","Zachování podmínek pro dlouhodobý výskyt životaschopné populace hlízovce Loeselova a udržení dobréúrovnì populace odpovídající stavu pøi vyhlášení EVL, tzn. vyšší desítky jedincù.",75
"CZ0514113","modrásek bahenní","Maculinea nausithous","1061","stálá",NA,NA,NA,"prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav pøedmìtu ochrany, modráska bahenního, jako pøi vyhlášení, tzn. stabilní populace èítající desítky
jedincù. Aktivním managementem zajistit optimální stav biotopu pøedmìtu ochrany.","sdo__2874_0000.pdf","modrásek bahenní","Maculinea nausithous","Udržet stav pøedmìtu ochrany, modráska bahenního, jako pøi vyhlášení, tzn. stabilní populace èítající desítkyjedincù. Aktivním managementem zajistit optimální stav biotopu pøedmìtu ochrany.",NA
"CZ0514113","vrápenec malý","Rhinolophus hipposideros","1303","stálá",50,50,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stálou kolonii vrápence malého v poèetnosti odpovídající poèáteènímu stavu pøi vyhlášení EVL,
tzn. alespoò 50 jedincù, zajištìním pravidelnì využívaného úkrytu kolonie.","sdo__2874_0000.pdf","vrápenec malý","Rhinolophus hipposideros","Zachovat stálou kolonii vrápence malého v poèetnosti odpovídající poèáteènímu stavu pøi vyhlášení EVL,tzn. alespoò 50 jedincù, zajištìním pravidelnì využívaného úkrytu kolonie.",50
"CZ0514113","vláskatec tajemný","Trichomanes speciosum","1421","stálá",NA,NA,NA,"dobré zachování","populace na okraji areálu","dobrá hodnota","Udržet pøedmìt ochrany, respektive jeho biotop v dobrém stavu, který odpovídá stavu v dobì vyhlášení EVL.
Zachovat pøítomnost horizontálních tmavých puklin v zapuštìných pískovcových skalních masivech, které si
celoroènì udržují stálou vlhkost.","sdo__2874_0000.pdf","vláskatec tajemný","Trichomanes speciosum","Udržet pøedmìt ochrany, respektive jeho biotop v dobrém stavu, který odpovídá stavu v dobì vyhlášení EVL.Zachovat pøítomnost horizontálních tmavých puklin v zapuštìných pískovcových skalních masivech, které siceloroènì udržují stálou vlhkost.",NA
"CZ0113005","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Stabilní populace (vyšší desítky až stovky jedincù) detekovatelná jak na základì výskytu housenek v jarním
období, tak aktivitou dospìlcù v dobì letu. Na pøedem zvoleném transektu vhodnými biotopy (rozvolnìné stepní
a lesostepní porosty) by mìly být v prùbìhu dubna a kvìtna pravidelnì detekovatelné dorùstající housenky, v
dobì letu motýlù by pak stejné transekty mìly stabilnì prokazovat výskyt prolétajících anebo na kvìtech
sajících motýlù a obdobné výsledky by mìlo pøinášet i pøípadné noèní lákání na svìtelný zdroj. Aktuální stav
populace pøibližnì odpovídá stavu pøi vyhlášení EVL a cílem je tento stav udržet.
* oznaèuje prioritní druh","sdo_2503_2016_0000.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Stabilní populace (vyšší desítky až stovky jedincù) detekovatelná jak na základì výskytu housenek v jarnímobdobí, tak aktivitou dospìlcù v dobì letu. Na pøedem zvoleném transektu vhodnými biotopy (rozvolnìné stepnía lesostepní porosty) by mìly být v prùbìhu dubna a kvìtna pravidelnì detekovatelné dorùstající housenky, vdobì letu motýlù by pak stejné transekty mìly stabilnì prokazovat výskyt prolétajících anebo na kvìtechsajících motýlù a obdobné výsledky by mìlo pøinášet i pøípadné noèní lákání na svìtelný zdroj. Aktuální stavpopulace pøibližnì odpovídá stavu pøi vyhlášení EVL a cílem je tento stav udržet.",NA
"CZ0113005","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Stabilní populace (vyšší desítky až stovky jedincù) detekovatelná jak na základì výskytu housenek v jarním
období, tak aktivitou dospìlcù v dobì letu. Na pøedem zvoleném transektu vhodnými biotopy (rozvolnìné stepní
a lesostepní porosty) by mìly být v prùbìhu dubna a kvìtna pravidelnì detekovatelné dorùstající housenky, v
dobì letu motýlù by pak stejné transekty mìly stabilnì prokazovat výskyt prolétajících anebo na kvìtech
sajících motýlù a obdobné výsledky by mìlo pøinášet i pøípadné noèní lákání na svìtelný zdroj. Aktuální stav
populace pøibližnì odpovídá stavu pøi vyhlášení EVL a cílem je tento stav udržet.
* oznaèuje prioritní druh","sdo_2503_2016_000o.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Stabilní populace (vyšší desítky až stovky jedincù) detekovatelná jak na základì výskytu housenek v jarnímobdobí, tak aktivitou dospìlcù v dobì letu. Na pøedem zvoleném transektu vhodnými biotopy (rozvolnìné stepnía lesostepní porosty) by mìly být v prùbìhu dubna a kvìtna pravidelnì detekovatelné dorùstající housenky, vdobì letu motýlù by pak stejné transekty mìly stabilnì prokazovat výskyt prolétajících anebo na kvìtechsajících motýlù a obdobné výsledky by mìlo pøinášet i pøípadné noèní lákání na svìtelný zdroj. Aktuální stavpopulace pøibližnì odpovídá stavu pøi vyhlášení EVL a cílem je tento stav udržet.",NA
"CZ0113002","tesaøík obrovský","Cerambyx cerdo","1088","stálá",10,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Dlouhodobým cílem je zlepšit stav populace tesaøíka obrovského oproti stavu pøi vyhlášení.","sdo_2504_2015.pdf","tesaøík obrovský","Cerambyx cerdo","Dlouhodobým cílem je zlepšit stav populace tesaøíka obrovského oproti stavu pøi vyhlášení.",55
"CZ0113001","vrkoè útlý","Vertigo angustior","1014","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zachovat stav pøedmìtu ochrany jako pøi vyhlášení EVL.","sdo_2505_2015.pdf","vrkoè útlý","Vertigo angustior","Zachovat stav pøedmìtu ochrany jako pøi vyhlášení EVL.",NA
